Change Component Comment : Designator=C37 Old Comment=0,1u New Comment=0,1לךװ
Change Component Comment : Designator=R22 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R24 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R25 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R27 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R28 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R29 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R31 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R32 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R33 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R42 Old Comment=1ך New Comment=1k
Change Component Comment : Designator=R34 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R35 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R36 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R37 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R38 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R39 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R40 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R43 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=R44 Old Comment=10ך New Comment=10k
Change Component Comment : Designator=C26 Old Comment=10לךװ New Comment=10לkװ
Change Component Comment : Designator=C27 Old Comment=10לךװ New Comment=10לkװ
Change Component Comment : Designator=R23 Old Comment=13ך New Comment=13k
Change Component Comment : Designator=R26 Old Comment=13ך New Comment=13k
Change Component Comment : Designator=R30 Old Comment=13ך New Comment=13k
